subject_id,age,age_group,kappa_requested,kappa_final,connected_at_requested_kappa,bumped
sub-pixar131,39.0,adult,0.1,0.1,True,False
sub-pixar132,22.0,adult,0.1,0.16,False,True
sub-pixar133,21.0,adult,0.1,0.14,False,True
sub-pixar134,25.0,adult,0.1,0.1,True,False
sub-pixar135,21.0,adult,0.1,0.2,False,True
sub-pixar136,25.0,adult,0.1,0.14,False,True
sub-pixar137,34.0,adult,0.1,0.17,False,True
sub-pixar138,28.0,adult,0.1,0.13,False,True
sub-pixar139,18.0,adult,0.1,0.1,True,False
sub-pixar140,19.0,adult,0.1,0.13,False,True
sub-pixar141,22.0,adult,0.1,0.12,False,True
sub-pixar142,33.0,adult,0.1,0.12,False,True
sub-pixar143,22.0,adult,0.1,0.13,False,True
sub-pixar144,20.0,adult,0.1,0.43,False,True
sub-pixar145,22.0,adult,0.1,0.1,True,False
sub-pixar147,21.0,adult,0.1,0.2,False,True
sub-pixar148,31.0,adult,0.1,0.17,False,True
sub-pixar149,24.0,adult,0.1,0.19,False,True
sub-pixar150,19.0,adult,0.1,0.31,False,True
sub-pixar151,23.0,adult,0.1,0.15,False,True
sub-pixar152,21.0,adult,0.1,0.1,True,False
sub-pixar153,30.0,adult,0.1,0.16,False,True
sub-pixar154,29.0,adult,0.1,0.11,False,True
sub-pixar155,26.0,adult,0.1,0.2,False,True
